Fold,Method,k,Selection_rank,Gene,logFC,FDR,Stat_score,Rank_stat,Degree,Normalized_degree,Rank_topo,Borda_score,Rank_NIBFS,mRMR_score,Relevance,Redundancy,Coefficient,Abs_Coefficient,Rank_LASSO
2,DEG-only,20,9,CHRDL1,-3.636686775449917,1.521387801033889e-110,399.37279575747147,9.0,,,,,,,,,,,
2,DEG-only,20,10,ABCA8,-3.699017229192512,1.4972697886785932e-108,398.84542280446647,10.0,,,,,,,,,,,
2,DEG-only,20,11,ECRG4,-3.6435169538930574,4.041075973734404e-110,398.577082770077,11.0,,,,,,,,,,,
2,DEG-only,20,12,MAMDC2,-3.0180884339391456,2.547142611184239e-128,385.0898148929456,12.0,,,,,,,,,,,
2,DEG-only,20,13,TOP2A,3.288592141543784,9.370791344742856e-112,365.126544055462,13.0,,,,,,,,,,,
2,DEG-only,20,14,ADAMTS5,-2.983773346530976,1.528464441509095e-121,360.486798758787,14.0,,,,,,,,,,,
2,DEG-only,20,15,UHRF1,2.8191881303767725,2.984434292447951e-128,359.51735531342547,15.0,,,,,,,,,,,
2,DEG-only,20,16,CD300LG,-2.954837275551906,1.158542412249845e-115,339.6174373140992,16.0,,,,,,,,,,,
2,DEG-only,20,17,NTRK2,-3.5556302234654384,1.0072082152049637e-95,337.77378029622315,17.0,,,,,,,,,,,
2,DEG-only,20,18,FMO2,-3.018088355900128,1.9576069529782542e-112,337.14544252957825,18.0,,,,,,,,,,,
2,DEG-only,20,19,NUSAP1,2.8670869189551857,1.5078268473630874e-117,334.93782034597086,19.0,,,,,,,,,,,
2,DEG-only,20,20,PCLAF,2.8415498842793894,1.3153879327237833e-113,320.75683946034843,20.0,,,,,,,,,,,
2,mRMR,20,1,SCARA5,,,,,,,,,,0.543531272692886,0.543531272692886,0.0,,,
2,mRMR,20,2,MT-ND4,,,,,,,,,,0.4128779780790515,0.4212257759012865,0.008347797822235,,,
2,mRMR,20,3,RPS15,,,,,,,,,,0.2779541588750193,0.3337559076450449,0.0558017487700256,,,
2,mRMR,20,4,INHBA,,,,,,,,,,0.2288965834820257,0.5048487453902126,0.2759521619081869,,,
2,mRMR,20,5,TPT1,,,,,,,,,,0.1752007312233852,0.4274578898684411,0.2522571586450559,,,
2,mRMR,20,6,UBE2T,,,,,,,,,,0.1149479286696495,0.4933708489876034,0.3784229203179539,,,
2,mRMR,20,7,RPLP1,,,,,,,,,,0.1103389532062657,0.2511203386759422,0.1407813854696764,,,
2,mRMR,20,8,COL10A1,,,,,,,,,,0.1189792411370852,0.5029220543444275,0.3839428132073422,,,
2,mRMR,20,9,RPL32,,,,,,,,,,0.0711720088483044,0.3605393747540399,0.2893673659057355,,,
2,mRMR,20,10,SPRY2,,,,,,,,,,0.0790896412529976,0.5053714459155301,0.4262818046625324,,,
2,mRMR,20,11,RPS3,,,,,,,,,,0.0535067291741862,0.2221077089497516,0.1686009797755653,,,
2,mRMR,20,12,VEGFD,,,,,,,,,,0.0797277229343948,0.5280584467627845,0.4483307238283896,,,
2,mRMR,20,13,ADAMTS5,,,,,,,,,,0.0482388628339851,0.5032423189598545,0.4550034561258693,,,
2,mRMR,20,14,UHRF1,,,,,,,,,,0.0200464119917641,0.5134190768311226,0.4933726648393585,,,
2,mRMR,20,15,COL11A1,,,,,,,,,,-0.0076506681531599,0.4883933567385445,0.4960440248917044,,,
2,mRMR,20,16,PABPC1,,,,,,,,,,-0.0162182550176769,0.222217601496119,0.238435856513796,,,
2,mRMR,20,17,RPS12,,,,,,,,,,-0.0036548185342416,0.2654019381636976,0.2690567566979392,,,
2,mRMR,20,18,MAMDC2,,,,,,,,,,0.0033474675639731,0.5028616178945025,0.4995141503305293,,,
2,mRMR,20,19,RPL12,,,,,,,,,,-0.0185522192668137,0.2597024503321588,0.2782546695989725,,,
2,mRMR,20,20,TNMD,,,,,,,,,,-0.0005853300586597,0.4073521908269575,0.4079375208856172,,,
2,LASSO,20,1,LINC00852,,,,,,,,,,,,,0.1254512917424339,0.1254512917424339,1.0
2,LASSO,20,2,INHBA,,,,,,,,,,,,,0.1240505092676419,0.1240505092676419,2.0
2,LASSO,20,3,CTHRC1,,,,,,,,,,,,,0.1212467792404807,0.1212467792404807,3.0
2,LASSO,20,4,MAPRE2,,,,,,,,,,,,,0.1142752883567182,0.1142752883567182,4.0
2,LASSO,20,5,LYVE1,,,,,,,,,,,,,-0.1122789918068871,0.1122789918068871,5.0
2,LASSO,20,6,PCNX1,,,,,,,,,,,,,-0.1098426943054724,0.1098426943054724,6.0
2,LASSO,20,7,ASPN,,,,,,,,,,,,,0.1069795252581424,0.1069795252581424,7.0
2,LASSO,20,8,BGN,,,,,,,,,,,,,0.0955239045784354,0.0955239045784354,8.0
2,LASSO,20,9,ITGBL1,,,,,,,,,,,,,0.0952440881875638,0.0952440881875638,9.0
2,LASSO,20,10,COL10A1,,,,,,,,,,,,,0.0926362414441559,0.0926362414441559,10.0
2,LASSO,20,11,GABARAPL1,,,,,,,,,,,,,-0.09210701923804,0.09210701923804,11.0
2,LASSO,20,12,CLEC4G,,,,,,,,,,,,,-0.0904713165334573,0.0904713165334573,12.0
2,LASSO,20,13,RBMS1,,,,,,,,,,,,,-0.0892142483558996,0.0892142483558996,13.0
2,LASSO,20,14,CLXN,,,,,,,,,,,,,0.0878496533471324,0.0878496533471324,14.0
2,LASSO,20,15,PRR4,,,,,,,,,,,,,0.0835984551997801,0.0835984551997801,15.0
2,LASSO,20,16,CILP2,,,,,,,,,,,,,0.0832601766206649,0.0832601766206649,16.0
2,LASSO,20,17,ACAA1,,,,,,,,,,,,,-0.0805060940600039,0.0805060940600039,17.0
2,LASSO,20,18,S100P,,,,,,,,,,,,,0.0798307166792815,0.0798307166792815,18.0
2,LASSO,20,19,EIF3F,,,,,,,,,,,,,-0.0795940092957911,0.0795940092957911,19.0
2,LASSO,20,20,SERPINE2,,,,,,,,,,,,,0.0792727901253371,0.0792727901253371,20.0
3,NIBFS,20,1,CDK1,2.617361032723914,4.2118126009484653e-110,286.27525266928444,32.0,276.0,0.0173595823636706,34.5,34375.5,1.0,,,,,,
3,NIBFS,20,2,EGFR,-2.5033697666539583,6.750355545833161e-87,215.71705844156017,87.0,460.0,0.0289326372727844,3.0,34352.0,2.0,,,,,,
3,NIBFS,20,3,CCNB1,2.384502310065074,1.8368113857483007e-105,249.74307999691305,59.0,199.0,0.0125165104723567,134.0,34249.0,3.0,,,,,,
3,NIBFS,20,4,BUB1B,2.1737417098726817,1.1991274742734672e-96,208.50777123919335,97.0,181.0,0.0113843637964651,184.0,34161.0,4.0,,,,,,
