Repeat,Fold,Method,k,Selection_rank,Gene
2,4,NIBFS,20,19,CCNB2
2,4,NIBFS,20,20,IGF1
2,4,mRMR,20,1,CAVIN2
2,4,mRMR,20,2,MT-ND4
2,4,mRMR,20,3,RPS15
2,4,mRMR,20,4,INHBA
2,4,mRMR,20,5,UBB
2,4,mRMR,20,6,SCARA5
2,4,mRMR,20,7,TPT1
2,4,mRMR,20,8,RPL32
2,4,mRMR,20,9,VEGFD
2,4,mRMR,20,10,MT-ND2
2,4,mRMR,20,11,UBE2T
2,4,mRMR,20,12,RPLP1
2,4,mRMR,20,13,COL10A1
2,4,mRMR,20,14,ADAMTS5
2,4,mRMR,20,15,RPS3
2,4,mRMR,20,16,COL11A1
2,4,mRMR,20,17,UHRF1
2,4,mRMR,20,18,CSN1S1
2,4,mRMR,20,19,MMP11
2,4,mRMR,20,20,RPS12
