Repeat,Fold,Method,k,Selection_rank,Gene
5,4,Stability-selection,20,16,IFI6
5,4,Stability-selection,20,17,GAS7
5,4,Stability-selection,20,18,S100P
5,4,Stability-selection,20,19,MAF
5,4,Stability-selection,20,20,IER5L
5,5,Stability-selection,20,1,CTHRC1
5,5,Stability-selection,20,2,BGN
5,5,Stability-selection,20,3,SCARA5
5,5,Stability-selection,20,4,IER5L
5,5,Stability-selection,20,5,CXCL2
5,5,Stability-selection,20,6,EIF3F
5,5,Stability-selection,20,7,GSTM5
5,5,Stability-selection,20,8,PCNX1
5,5,Stability-selection,20,9,INHBA
5,5,Stability-selection,20,10,S100P
5,5,Stability-selection,20,11,GABARAPL1
5,5,Stability-selection,20,12,CREB5
5,5,Stability-selection,20,13,MEDAG
5,5,Stability-selection,20,14,GAS7
5,5,Stability-selection,20,15,POSTN
5,5,Stability-selection,20,16,ZBTB16
5,5,Stability-selection,20,17,SELENOI
5,5,Stability-selection,20,18,PPP1R15A
5,5,Stability-selection,20,19,CCN4
5,5,Stability-selection,20,20,ALDH1A2
6,1,Stability-selection,20,1,CTHRC1
6,1,Stability-selection,20,2,INHBA
6,1,Stability-selection,20,3,IER5L
6,1,Stability-selection,20,4,GABARAPL1
6,1,Stability-selection,20,5,MEDAG
6,1,Stability-selection,20,6,GAS7
6,1,Stability-selection,20,7,GSTM5
6,1,Stability-selection,20,8,LYVE1
6,1,Stability-selection,20,9,PCNX1
6,1,Stability-selection,20,10,CREB5
6,1,Stability-selection,20,11,VEGFD
6,1,Stability-selection,20,12,ABCA9
6,1,Stability-selection,20,13,SIX4
6,1,Stability-selection,20,14,COMP
6,1,Stability-selection,20,15,LSR
6,1,Stability-selection,20,16,ATF3
6,1,Stability-selection,20,17,BARD1
6,1,Stability-selection,20,18,BBS2
6,1,Stability-selection,20,19,JUN
6,1,Stability-selection,20,20,FOS
6,2,Stability-selection,20,1,CTHRC1
6,2,Stability-selection,20,2,INHBA
6,2,Stability-selection,20,3,EIF3F
6,2,Stability-selection,20,4,GAS7
6,2,Stability-selection,20,5,IER5L
6,2,Stability-selection,20,6,BGN
6,2,Stability-selection,20,7,BARD1
6,2,Stability-selection,20,8,MT1M
6,2,Stability-selection,20,9,CREB5
6,2,Stability-selection,20,10,MEDAG
6,2,Stability-selection,20,11,PCNX1
6,2,Stability-selection,20,12,POSTN
6,2,Stability-selection,20,13,GABARAPL1
6,2,Stability-selection,20,14,CXCL2
6,2,Stability-selection,20,15,SIX4
6,2,Stability-selection,20,16,GSTM5
6,2,Stability-selection,20,17,S100P
6,2,Stability-selection,20,18,LYVE1
6,2,Stability-selection,20,19,JUN
6,2,Stability-selection,20,20,CMA1
6,3,Stability-selection,20,1,INHBA
6,3,Stability-selection,20,2,GAS7
6,3,Stability-selection,20,3,CREB5
6,3,Stability-selection,20,4,CTHRC1
6,3,Stability-selection,20,5,POSTN
6,3,Stability-selection,20,6,IER5L
6,3,Stability-selection,20,7,ALDH1A2
6,3,Stability-selection,20,8,GSTM5
6,3,Stability-selection,20,9,ZBTB16
6,3,Stability-selection,20,10,BGN
6,3,Stability-selection,20,11,VIT
6,3,Stability-selection,20,12,SIX4
6,3,Stability-selection,20,13,TEF
6,3,Stability-selection,20,14,THRB
6,3,Stability-selection,20,15,BBS2
6,3,Stability-selection,20,16,SCARA5
6,3,Stability-selection,20,17,PPP1R15A
6,3,Stability-selection,20,18,PLP1
6,3,Stability-selection,20,19,COL10A1
6,3,Stability-selection,20,20,COL1A1
6,4,Stability-selection,20,1,CTHRC1
6,4,Stability-selection,20,2,GABARAPL1
6,4,Stability-selection,20,3,INHBA
6,4,Stability-selection,20,4,EIF3F
6,4,Stability-selection,20,5,SIX4
6,4,Stability-selection,20,6,ATF3
6,4,Stability-selection,20,7,CXCL2
6,4,Stability-selection,20,8,PCNX1
6,4,Stability-selection,20,9,BGN
6,4,Stability-selection,20,10,ABCA9
6,4,Stability-selection,20,11,CCN4
6,4,Stability-selection,20,12,LSR
6,4,Stability-selection,20,13,LEF1
6,4,Stability-selection,20,14,LYVE1
6,4,Stability-selection,20,15,ADAMDEC1
6,4,Stability-selection,20,16,JUN
6,4,Stability-selection,20,17,NREP
6,4,Stability-selection,20,18,ZFP36
6,4,Stability-selection,20,19,GAS7
6,4,Stability-selection,20,20,COL10A1
6,5,Stability-selection,20,1,CTHRC1
6,5,Stability-selection,20,2,INHBA
6,5,Stability-selection,20,3,BGN
6,5,Stability-selection,20,4,MEDAG
6,5,Stability-selection,20,5,CREB5
6,5,Stability-selection,20,6,IFI6
6,5,Stability-selection,20,7,ZBTB16
6,5,Stability-selection,20,8,ATF3
6,5,Stability-selection,20,9,BBS2
6,5,Stability-selection,20,10,IER5L
6,5,Stability-selection,20,11,PCNX1
6,5,Stability-selection,20,12,LSR
6,5,Stability-selection,20,13,GABARAPL1
6,5,Stability-selection,20,14,EIF3F
6,5,Stability-selection,20,15,MT1M
6,5,Stability-selection,20,16,SIX4
6,5,Stability-selection,20,17,S100P
6,5,Stability-selection,20,18,SCARA5
6,5,Stability-selection,20,19,POSTN
6,5,Stability-selection,20,20,GNL1
7,1,Stability-selection,20,1,CTHRC1
7,1,Stability-selection,20,2,BGN
7,1,Stability-selection,20,3,GABARAPL1
7,1,Stability-selection,20,4,INHBA
7,1,Stability-selection,20,5,SIX4
7,1,Stability-selection,20,6,PCNX1
7,1,Stability-selection,20,7,MEDAG
7,1,Stability-selection,20,8,EIF3F
7,1,Stability-selection,20,9,ATF3
7,1,Stability-selection,20,10,ABCA9
7,1,Stability-selection,20,11,LYVE1
7,1,Stability-selection,20,12,ZDHHC13
7,1,Stability-selection,20,13,CXCL10
7,1,Stability-selection,20,14,CXCL2
7,1,Stability-selection,20,15,IFI6
7,1,Stability-selection,20,16,CTSG
7,1,Stability-selection,20,17,JUN
7,1,Stability-selection,20,18,S100P
7,1,Stability-selection,20,19,MT1M
7,1,Stability-selection,20,20,PPAT
7,2,Stability-selection,20,1,INHBA
7,2,Stability-selection,20,2,BGN
7,2,Stability-selection,20,3,MEDAG
7,2,Stability-selection,20,4,HOXA4
7,2,Stability-selection,20,5,SIX4
7,2,Stability-selection,20,6,CTHRC1
7,2,Stability-selection,20,7,MMP9
7,2,Stability-selection,20,8,GSTM5
7,2,Stability-selection,20,9,CMA1
7,2,Stability-selection,20,10,GNL1
7,2,Stability-selection,20,11,GAS7
7,2,Stability-selection,20,12,PCNX1
7,2,Stability-selection,20,13,ZBTB16
7,2,Stability-selection,20,14,LYVE1
7,2,Stability-selection,20,15,VIT
7,2,Stability-selection,20,16,COL10A1
7,2,Stability-selection,20,17,CCN4
7,2,Stability-selection,20,18,SELENOI
7,2,Stability-selection,20,19,GABARAPL1
7,2,Stability-selection,20,20,KIF26B
7,3,Stability-selection,20,1,CTHRC1
7,3,Stability-selection,20,2,INHBA
7,3,Stability-selection,20,3,ATF3
7,3,Stability-selection,20,4,EIF3F
7,3,Stability-selection,20,5,MEDAG
7,3,Stability-selection,20,6,SIX4
7,3,Stability-selection,20,7,BARD1
7,3,Stability-selection,20,8,BGN
7,3,Stability-selection,20,9,CREB5
7,3,Stability-selection,20,10,IER5L
7,3,Stability-selection,20,11,GABARAPL1
7,3,Stability-selection,20,12,PCNX1
7,3,Stability-selection,20,13,BBS2
7,3,Stability-selection,20,14,LSR
7,3,Stability-selection,20,15,CXCL2
7,3,Stability-selection,20,16,S100P
7,3,Stability-selection,20,17,COL1A1
7,3,Stability-selection,20,18,ABCA9
7,3,Stability-selection,20,19,TCEAL7
7,3,Stability-selection,20,20,S100A10
7,4,Stability-selection,20,1,CTHRC1
7,4,Stability-selection,20,2,GAS7
7,4,Stability-selection,20,3,INHBA
7,4,Stability-selection,20,4,EIF3F
7,4,Stability-selection,20,5,GSTM5
7,4,Stability-selection,20,6,IER5L
7,4,Stability-selection,20,7,PAK3
7,4,Stability-selection,20,8,CXCL2
7,4,Stability-selection,20,9,PCNX1
7,4,Stability-selection,20,10,PLAC9
7,4,Stability-selection,20,11,S100A10
7,4,Stability-selection,20,12,VEGFD
7,4,Stability-selection,20,13,LYVE1
7,4,Stability-selection,20,14,BARD1
7,4,Stability-selection,20,15,LEF1
7,4,Stability-selection,20,16,PIK3R1
